Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
            Less: Accumulated depletion,NaN,NaN,NaN,815906.00,NaN,1107296.00,1403223.00,2157991.00,NaN,NaN,NaN,NaN,NaN,6697886.00,7401730.00,6633705.00,7127061.00,7964561.00,8408111.00,8805962.00,14445818.00,13699088.00,14935070.00,18141129.00,14570019.00,15989910.00,17182017.00,19713300.00,20326268.00,24689867.00,24969983.00,24969983.00,21624723.00,30895497.00,34274792.00,44505081.00,46256590.00,59601862.00,69905389.00,87874908.00,129272256.00,130886395.00,141436358.00,135771076.00,151266590.00,167979636.00,137713026.00,142269785
      Land,NaN,NaN,NaN,46442485.00,NaN,70241248.00,76333446.00,87820308.00,NaN,NaN,NaN,NaN,NaN,200268647.00,213854531.00,214757035.00,212850061.00,212808128.00,206500951.00,208059762.00,221172841.00,232302952.00,256622698.00,291171287.00,326371562.00,358625577.00,392090094.00,423177429.00,454765198.00,509408430.00,730875334.00,730875334.00,820122518.00,884587282.00,891573347.00,912941355.00,922404080.00,957193458.00,1000611500.00,1069052409.00,1142884446.00,1199528952.00,1306637780.00,1358823350.00,1338869636.00,1529279674.00,1613903574.00,1797570132
      Intangible assets,NaN,NaN,NaN,3230969.00,NaN,6730513.00,10404353.00,12816999.00,NaN,NaN,NaN,NaN,NaN,62595734.00,68578844.00,70184397.00,70921015.00,83293245.00,90595009.00,97736822.00,112873973.00,132086686.00,153682870.00,192982429.00,239697452.00,308136685.00,353134969.00,363634755.00,392420373.00,437492109.00,592178961.00,592178961.00,659333106.00,743754908.00,722751237.00,726329039.00,800069987.00,882907597.00,935840649.00,1023340567.00,1163641233.00,1314823917.00,1481825645.00,1577528205.00,1546529981.00,1757012807.00,1992438781.00,2330939707
            Less: Accumulated amoritization,NaN,NaN,NaN,1061087.00,NaN,2169740.00,3520871.00,3857717.00,NaN,NaN,NaN,NaN,NaN,24326410.00,27575030.00,28196018.00,29884872.00,33512503.00,36888240.00,39531112.00,41818039.00,45233527.00,49381300.00,52179614.00,55309349.00,66673266.00,80702435.00,90657665.00,89028884.00,91567848.00,107111131.00,107111131.00,118876478.00,142044682.00,148129659.00,159624968.00,170548597.00,186608675.00,193878005.00,211538070.00,229817949.00,252973511.00,279136902.00,309756116.00,311614148.00,401108619.00,418278371.00,525423515
      Other assets,NaN,NaN,NaN,21271862.00,NaN,41002361.00,73079123.00,68557036.00,NaN,NaN,NaN,NaN,NaN,194061550.00,271788247.00,140485203.00,137311388.00,130147660.00,143116894.00,159429218.00,190014042.00,229190398.00,301282617.00,366299901.00,415521098.00,463876812.00,591448595.00,644776888.00,667475879.00,760620987.00,1112372673.00,1112372673.00,1224008286.00,1390561505.00,1248307210.00,1321046308.00,1325396402.00,1314980457.00,1411789331.00,1546578930.00,1638476661.00,1750510450.00,1860481640.00,2059128948.00,2116365632.00,2788142412.00,3263204211.00,3321916378
Total liabilities and capital,NaN,NaN,NaN,353696180.00,NaN,597503923.00,715232570.00,845281413.00,NaN,NaN,NaN,NaN,NaN,1580194209.00,1791027273.00,1685223450.00,1616567896.00,1907344453.00,2118268141.00,2295212222.00,2718647742.00,3368165845.00,4171498832.00,5126548007.00,5998952883.00,6694142838.00,8428217379.00,8866560101.00,9675052728.00,11607698140.00,17146275372.00,17146275372.00,20386133966.00,19259803843.00,18798108367.00,19820206570.00,20574459139.00,22014928866.00,24163126120.00,26128933308.00,27366266830.00,28950043266.00,32403619868.00,34348006740.00,36048324019.00,43182900507.00,50832008026.00,52530130780
       Accounts payable,NaN,NaN,NaN,20943025.00,NaN,33899048.00,29092451.00,37254748.00,NaN,NaN,NaN,NaN,NaN,48882276.00,51695075.00,62401908.00,63088121.00,79336897.00,79764998.00,81057259.00,90603965.00,121243113.00,159411026.00,190689535.00,243769049.00,229893243.00,361748491.00,346350802.00,275560392.00,336393755.00,505211961.00,505211961.00,430034492.00,513208421.00,444390050.00,492466297.00,504493070.00,509016113.00,533473648.00,537406923.00,529084246.00,582851973.00,618376583.00,621403829.00,566181478.00,741424108.00,755704686.00,844748488
"       Mortgages, notes, bonds payable in less than one year",NaN,NaN,NaN,27810649.00,NaN,48001839.00,55691914.00,73277805.00,NaN,NaN,NaN,NaN,NaN,86552615.00,86933328.00,87570916.00,116758131.00,114638421.00,131148176.00,125644085.00,123961301.00,125889105.00,126794298.00,229922243.00,231808501.00,252226751.00,289248638.00,282684863.00,273570095.00,296350178.00,455621208.00,455621208.00,564662688.00,581693016.00,432206038.00,480916174.00,393589703.00,326059271.00,306330841.00,328111955.00,351264544.00,407009913.00,432531915.00,452494680.00,449880826.00,484300026.00,493119176.00,482022713
       Other current liabilities,NaN,NaN,NaN,16804131.00,NaN,61505617.00,106336090.00,129948913.00,NaN,NaN,NaN,NaN,NaN,86330374.00,110064162.00,123879764.00,168806041.00,207273367.00,272979891.00,290537838.00,425069642.00,663329069.00,839613535.00,931060110.00,962470987.00,923893453.00,1575392553.00,1545790568.00,1761713210.00,2361630275.00,3707452028.00,3707452028.00,4117267980.00,3611505624.00,2805449851.00,2640691764.00,2745714787.00,2806532947.00,3216716115.00,3447604886.00,3495987000.00,3926840111.00,4317411403.00,4968171524.00,5372874959.00,5846647422.00,6419913814.00,6679863589
       All nonrecourse loans,NaN,NaN,NaN,83746916.00,NaN,118910380.00,138134304.00,154508961.00,NaN,NaN,NaN,NaN,NaN,436916024.00,461008315.00,470139911.00,474221624.00,475615076.00,477709746.00,463311873.00,465744743.00,474197941.00,492364600.00,523403560.00,582151975.00,639417006.00,699883406.00,770277980.00,799599369.00,854466687.00,1102572590.00,1102572590.00,1210101896.00,1283259523.00,1281654052.00,1225305419.00,1212525105.00,1212390621.00,1224931576.00,1254352302.00,1269695686.00,1317580568.00,1378049828.00,1462092517.00,1489435134.00,1627492115.00,1727577873.00,1849036548
